x,vx,y,vy,z,vz
1220.7125,-4.5910,-72.0939,-41.6848,1881.6202,130.6370
1220.5595,-4.5911,-73.4835,-41.6922,1885.9703,130.3693
1220.4064,-4.5966,-74.8734,-41.6968,1890.3115,130.1044
1220.2529,-4.6068,-76.2633,-41.6994,1894.6439,129.8422
1220.0991,-4.6210,-77.6533,-41.7009,1898.9677,129.5827
1219.9448,-4.6384,-79.0434,-41.7017,1903.2828,129.3257
1219.7899,-4.6584,-80.4334,-41.7025,1907.5894,129.0711
1219.6343,-4.6803,-81.8235,-41.7039,1911.8876,128.8190
1219.4779,-4.7035,-83.2137,-41.7062,1916.1774,128.5693
1219.3207,-4.7275,-84.6040,-41.7099,1920.4589,128.3220
1219.1627,-4.7519,-85.9944,-41.7153,1924.7322,128.0770
1219.0039,-4.7763,-87.3850,-41.7226,1928.9974,127.8343
1218.8443,-4.8003,-88.7759,-41.7321,1933.2545,127.5939
1218.6839,-4.8237,-90.1672,-41.7438,1937.5037,127.3559
1218.5227,-4.8461,-91.5588,-41.7579,1941.7449,127.1202
1218.3608,-4.8674,-92.9510,-41.7743,1945.9784,126.8867
1218.1982,-4.8874,-94.3438,-41.7932,1950.2041,126.6555
1218.0350,-4.9061,-95.7373,-41.8146,1954.4221,126.4265
1217.8712,-4.9233,-97.1315,-41.8382,1958.6325,126.1995
1217.7068,-4.9391,-98.5265,-41.8641,1962.8354,125.9746
1217.5419,-4.9534,-99.9224,-41.8921,1967.0309,125.7516
1217.3766,-4.9664,-101.3193,-41.9222,1971.2189,125.5306
1217.2108,-4.9779,-102.7173,-41.9542,1975.3996,125.3115
1217.0447,-4.9881,-104.1163,-41.9880,1979.5730,125.0942
1216.8783,-4.9971,-105.5165,-42.0234,1983.7392,124.8786
1216.7116,-5.0050,-106.9179,-42.0604,1987.8983,124.6649
1216.5446,-5.0119,-108.3205,-42.0988,1992.0502,124.4528
1216.3775,-5.0178,-109.7245,-42.1385,1996.1951,124.2424
1216.2101,-5.0230,-111.1298,-42.1793,2000.3331,124.0336
