x,vx,y,vy,z,vz
1022.2280,111.0689,379.6977,67.0407,856.8842,73.7564
1025.9341,111.3017,381.9348,67.1847,859.3397,73.5781
1029.6481,111.5347,384.1767,67.3289,861.7894,73.3992
1033.3698,111.7678,386.4234,67.4732,864.2330,73.2198
1037.0993,112.0011,388.6749,67.6177,866.6707,73.0398
1040.8365,112.2346,390.9313,67.7623,869.1023,72.8592
1044.5816,112.4682,393.1924,67.9071,871.5280,72.6781
1048.3344,112.7021,395.4584,68.0520,873.9475,72.4964
1052.0950,112.9361,397.7292,68.1970,876.3610,72.3141
1055.8635,113.1702,400.0049,68.3423,878.7685,72.1312
1059.6397,113.4046,402.2854,68.4876,881.1698,71.9478
1063.4238,113.6391,404.5707,68.6331,883.5650,71.7638
1067.2157,113.8738,406.8609,68.7788,885.9540,71.5793
1071.0154,114.1087,409.1560,68.9246,888.3369,71.3941
1074.8229,114.3437,411.4559,69.0705,890.7136,71.2084
1078.6383,114.5789,413.7607,69.2166,893.0841,71.0222
1082.4615,114.8142,416.0703,69.3628,895.4484,70.8353
1086.2926,115.0498,418.3849,69.5092,897.8065,70.6479
1090.1315,115.2855,420.7043,69.6557,900.1583,70.4599
1093.9783,115.5213,423.0286,69.8024,902.5038,70.2713
1097.8329,115.7574,425.3578,69.9492,904.8430,70.0822
1101.6954,115.9935,427.6918,70.0961,907.1760,69.8925
1105.5658,116.2299,430.0308,70.2431,909.5025,69.7022
1109.4441,116.4664,432.3747,70.3903,911.8228,69.5113
1113.3302,116.7031,434.7235,70.5377,914.1366,69.3199
1117.2243,116.9399,437.0772,70.6851,916.4441,69.1279
1121.1262,117.1769,439.4359,70.8327,918.7451,68.9353
1125.0361,117.4140,441.7994,70.9805,921.0398,68.7422
1128.9538,117.6513,444.1679,71.1283,923.3279,68.5485
1132.8795,117.8888,446.5413,71.2763,925.6097,68.3542
1136.8131,118.1264,448.9197,71.4245,927.8849,68.1593
1140.7546,118.3641,451.3029,71.5727,930.1536,67.9639
1144.7040,118.6020,453.6912,71.7211,932.4158,67.7679
1148.6614,118.8401,456.0844,71.8697,934.6715,67.5713
1152.6267,119.0783,458.4825,72.0183,936.9205,67.3742
1156.6000,119.3167,460.8856,72.1671,939.1631,67.1764
1160.5812,119.5552,463.2936,72.3160,941.3990,66.9782
1164.5703,119.7938,465.7066,72.4650,943.6283,66.7793
1168.5674,120.0326,468.1246,72.6142,945.8509,66.5799
1172.5725,120.2715,470.5476,72.7635,948.0669,66.3799
1176.5855,120.5106,472.9755,72.9129,950.2762,66.1793
1180.6065,120.7499,475.4085,73.0625,952.4789,65.9781
1184.6355,120.9892,477.8464,73.2121,954.6748,65.7764
1188.6725,121.2287,480.2893,73.3619,956.8639,65.5741
1192.7174,121.4684,482.7372,73.5119,959.0464,65.3712
1196.7704,121.7082,485.1901,73.6619,961.2220,65.1678
1200.8313,121.9481,487.6480,73.8121,963.3909,64.9638
1204.9002,122.1882,490.1109,73.9623,965.5529,64.7592
1208.9772,122.4284,492.5788,74.1128,967.7082,64.5540
1213.0621,122.6687,495.0517,74.2633,969.8565,64.3483
1217.1551,122.9092,497.5297,74.4139,971.9980,64.1420
1221.2561,123.1498,500.0126,74.5647,974.1327,63.9351
1225.3651,123.3906,502.5007,74.7156,976.2604,63.7277
1229.4821,123.6314,504.9937,74.8666,978.3812,63.5196
1233.6072,123.8724,507.4918,75.0177,980.4950,63.3110
1237.7403,124.1136,509.9949,75.1690,982.6019,63.1018
1241.8814,124.3548,512.5030,75.3203,984.7018,62.8921
1246.0306,124.5962,515.0162,75.4718,986.7947,62.6818
1250.1879,124.8378,517.5345,75.6234,988.8806,62.4709
1254.3531,125.0794,520.0578,75.7751,990.9594,62.2594
1258.5265,125.3212,522.5862,75.9269,993.0312,62.0473
1262.7079,125.5631,525.1196,76.0789,995.0959,61.8347
1266.8974,125.8051,527.6581,76.2309,997.1535,61.6215
1271.0949,126.0472,530.2017,76.3831,999.2040,61.4078
1275.3005,126.2895,532.7503,76.5354,1001.2473,61.1934
1279.5142,126.5319,535.3040,76.6877,1003.2835,60.9785
1283.7360,126.7744,537.8628,76.8402,1005.3126,60.7630
1287.9658,127.0170,540.4267,76.9928,1007.3344,60.5470
1292.2038,127.2598,542.9957,77.1455,1009.3490,60.3303
1296.4498,127.5026,545.5697,77.2984,1011.3564,60.1131
1300.7039,127.7456,548.1489,77.4513,1013.3566,59.8953
1304.9662,127.9887,550.7332,77.6043,1015.3494,59.6770
1309.2365,128.2319,553.3225,77.7575,1017.3350,59.4580
1313.5150,128.4753,555.9170,77.9107,1019.3133,59.2385
1317.8015,128.7187,558.5166,78.0641,1021.2842,59.0185
1322.0962,128.9622,561.1213,78.2175,1023.2479,58.7978
1326.3990,129.2059,563.7311,78.3711,1025.2041,58.5766
1330.7100,129.4497,566.3460,78.5248,1027.1530,58.3548
1335.0290,129.6936,568.9660,78.6785,1029.0944,58.1324
1339.3562,129.9375,571.5912,78.8324,1031.0284,57.9095
1343.6915,130.1816,574.2215,78.9864,1032.9550,57.6860
1348.0350,130.4258,576.8570,79.1404,1034.8742,57.4619
1352.3866,130.6701,579.4976,79.2946,1036.7858,57.2372
1356.7463,130.9146,582.1433,79.4489,1038.6900,57.0120
1361.1142,131.1591,584.7942,79.6032,1040.5866,56.7862
1365.4903,131.4037,587.4502,79.7577,1042.4757,56.5598
1369.8745,131.6484,590.1113,79.9123,1044.3573,56.3329
1374.2668,131.8932,592.7777,80.0669,1046.2312,56.1054
1378.6673,132.1381,595.4491,80.2217,1048.0976,55.8773
1383.0760,132.3832,598.1258,80.3766,1049.9564,55.6486
1387.4929,132.6283,600.8076,80.5315,1051.8075,55.4194
1391.9179,132.8735,603.4946,80.6866,1053.6510,55.1896
1396.3511,133.1188,606.1867,80.8417,1055.4868,54.9592
1400.7925,133.3642,608.8840,80.9969,1057.3149,54.7283
1405.2421,133.6097,611.5865,81.1523,1059.1354,54.4968
1409.6998,133.8553,614.2942,81.3077,1060.9481,54.2647
1414.1658,134.1010,617.0070,81.4632,1062.7530,54.0320
1418.6399,134.3468,619.7250,81.6188,1064.5502,53.7988
1423.1222,134.5926,622.4483,81.7745,1066.3396,53.5650
1427.6126,134.8371,625.1766,81.9293,1068.1212,53.3301
1432.1111,135.0782,627.9101,82.0822,1069.8948,53.0933
1436.6178,135.3191,630.6487,82.2349,1071.6607,52.8559
1441.1325,135.5527,633.3924,82.3831,1073.4186,52.6152
1445.6545,135.7627,636.1408,82.5168,1075.1683,52.3654
1450.1831,135.9519,638.8934,82.6377,1076.9095,52.1075
1454.7178,136.1262,641.6499,82.7493,1078.6421,51.8437
1459.2581,136.2877,644.4100,82.8531,1080.3657,51.5750
1463.8035,136.4386,647.1734,82.9503,1082.0804,51.3020
1468.3539,136.5805,649.9399,83.0420,1083.7858,51.0254
1472.9088,136.7147,652.7095,83.1290,1085.4820,50.7458
1477.4681,136.8423,655.4818,83.2120,1087.1688,50.4636
1482.0315,136.9642,658.2569,83.2914,1088.8462,50.1791
1486.5990,137.0810,661.0345,83.3677,1090.5141,49.8925
1491.1703,137.1930,663.8147,83.4410,1092.1724,49.6041
1495.7452,137.3003,666.5973,83.5114,1093.8210,49.3139
1500.3236,137.4029,669.3821,83.5789,1095.4600,49.0219
1504.9053,137.5009,672.1692,83.6436,1097.0891,48.7281
1509.4902,137.5944,674.9583,83.7055,1098.7085,48.4328
1514.0782,137.6838,677.7495,83.7648,1100.3180,48.1358
1518.6691,137.7689,680.5426,83.8216,1101.9175,47.8374
1523.2628,137.8501,683.3376,83.8758,1103.5071,47.5375
1527.8591,137.9274,686.1343,83.9277,1105.0867,47.2363
1532.4579,138.0010,688.9327,83.9773,1106.6562,46.9338
1537.0591,138.0710,691.7328,84.0246,1108.2156,46.6300
1541.6626,138.1374,694.5343,84.0698,1109.7648,46.3249
1546.2682,138.2005,697.3374,84.1128,1111.3039,46.0188
1550.8759,138.2603,700.1418,84.1539,1112.8327,45.7115
1555.4856,138.3170,702.9476,84.1930,1114.3513,45.4032
1560.0970,138.3706,705.7547,84.2301,1115.8596,45.0938
1564.7102,138.4212,708.5630,84.2655,1117.3576,44.7835
1569.3251,138.4689,711.3724,84.2991,1118.8452,44.4722
1573.9415,138.5139,714.1829,84.3310,1120.3224,44.1600
1578.5593,138.5563,716.9944,84.3612,1121.7891,43.8470
